old,new,batch,evidence
unknown,common_unknown,common,app\build.gradle.kts;app\src\main\java\com\qimian233\ztool\data\advanced\AdvancedSettingsRepository.kt;app\src\main\java\com\qimian233\ztool\data\home\HomeRepository.kt
unknown_font_filename,settings_unknown_font_filename,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
unknown_framework,page_home_unknown_framework,page,app\src\main\java\com\qimian233\ztool\data\home\HomeRepository.kt
unknown_root_available,page_home_unknown_root_available,page,app\src\main\java\com\qimian233\ztool\data\home\HomeRepository.kt
updateLog,system_update_update_log,scope,app\src\main\java\com\qimian233\ztool\screens\ota\OtaSettingsScreen.kt
update_available_title,page_home_update_available_title,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
update_available_version_format,page_settings_update_available_version_format,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\about\SettingsAboutRoute.kt
update_button_ignore,page_home_update_button_ignore,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
update_button_update,page_home_update_button_update,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
update_ignore_toast,page_home_update_ignore_toast,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
useBoldDate,system_ui_control_center_use_bold_date,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt
version,page_home_version,page,app\src\main\java\com\qimian233\ztool\screens\home\HomeRoute.kt
version_info_format,system_update_version_info_format,scope,app\src\main\java\com\qimian233\ztool\screens\ota\OtaSettingsScreen.kt
